Episode,Season,Episode Number,Original Airdate,Episode Description,Thumbnail Link,Hyperlink
"""Mei Lin Takes a Stand""",12,8b,22-Apr-09,"Binky's adopted sister, Mei Lin, would rather crawl than walk until she hears a story from Pepe the flea (from ""Flea To Be You and Me"") and his brother, Sale.",https://static.wikia.nocookie.net/arthur/images/7/73/Mei_Lin_Takes_A_Stand.jpg/revision/latest?cb=20131117160506,https://arthur.fandom.com/wiki/Mei_Lin_Takes_a_Stand
"""Home Sweet Home""",12,9a,23-Apr-09,"Buster is fearful of attending summer camp, but discovers making new friends isn't as difficult as he thought.",https://static.wikia.nocookie.net/arthur/images/4/46/Home_Sweet_Home_101.jpg/revision/latest?cb=20150223185844,https://arthur.fandom.com/wiki/Home_Sweet_Home
"""Do You Believe in Magic?""",12,9b,23-Apr-09,Arthur is jealous of Buster when his magic talents outshine his own.,https://static.wikia.nocookie.net/arthur/images/6/6c/Do_You_Believe_in_Magic.jpg/revision/latest?cb=20111111223848,https://arthur.fandom.com/wiki/Do_You_Believe_in_Magic%3F
"""The Perfect Game""",12,10a,24-Apr-09,"Francine is excited about designing a model city for class until she starts the project and obsesses on the baseball stadium for her favorite team, the Elwood City Grebes. Eventually she forgets about the whole project devoting everything to the stadium.",https://static.wikia.nocookie.net/arthur/images/2/2a/The_Perfect_Game.JPG/revision/latest?cb=20111115160241,https://arthur.fandom.com/wiki/The_Perfect_Game
"""D.W.'s Furry Freak-out""",12,10b,24-Apr-09,"A cat finds its way to D.W., where she is accepted into her house. She causes much trouble with D.W. while they wait for her owner to claim her.",https://static.wikia.nocookie.net/arthur/images/7/75/D.W.%27s_Furry_Freakout.png/revision/latest?cb=20111218152431,https://arthur.fandom.com/wiki/D.W.%27s_Furry_Freakout
"""The Great MacGrady""",13,1a,19-Oct-09,"Mrs. MacGrady is diagnosed with cancer and the kids react differently. Arthur and D.W. rush to her support, Francine is scared, and Muffy is initially unaware of the symptoms, but jumps to action when she realizes how to help. Lance Armstrong guest stars as himself for the second time.",https://static.wikia.nocookie.net/arthur/images/a/a3/The_Great_MacGrady.png/revision/latest?cb=20111201170500,https://arthur.fandom.com/wiki/The_Great_MacGrady_(Season_13_episode)
"""The Silent Treatment""",13,2a,13-Oct-09,"George wonders whether anyone would notice if he just disappeared, and so vows not to speak until someone notices him. Of course, his friends do notice, and they decide to cheer him up with a surprise party.",https://static.wikia.nocookie.net/arthur/images/3/3d/The_Silent_Treatment.png/revision/latest?cb=20111028084514,https://arthur.fandom.com/wiki/The_Silent_Treatment
"""Kung Fool""",13,2b,13-Oct-09,"Fern volunteers to help an elderly neighbour, Tony Wu, with his household chores, and then discovers his past life as a Kung Fu celebrity. Suddenly she imagines herself as his student, and she will soon be a Kung Fu master herself! But will she be disappointed to learn that dish cleaning and laundry folding are not really part of some special martial arts training? Or can she learn a valuable lesson in acceptance and friendship?",https://static.wikia.nocookie.net/arthur/images/f/fb/Kung_Fool.jpg/revision/latest?cb=20111028083233,https://arthur.fandom.com/wiki/Kung_Fool
"""Arthur's Number Nightmare""",13,3a,14-Oct-09,"Buster finds a piece of paper with names of his classmates and numbers beside them. He, Arthur, and Francine believe it's a class ranking system based on behavior, and Francine tries to find ways to have a higher rank.",https://static.wikia.nocookie.net/arthur/images/9/9c/Arthur_Number_Nightmare.png/revision/latest?cb=20111028084333,https://arthur.fandom.com/wiki/Arthur%27s_Number_Nightmare
"""Brain Gets Hooked""",13,3b,14-Oct-09,The Brain's addiction to a reality show called Junior Island falls him behind his schoolwork.,https://static.wikia.nocookie.net/arthur/images/a/a6/13_Brain_Gets_Hooked.jpg/revision/latest?cb=20120809005546,https://arthur.fandom.com/wiki/Brain_Gets_Hooked
"""MacFrensky""",13,4a,15-Oct-09,"Francine and the Brain are competing for Student of the Month. He is in the lead and Muffy wants her to win. Francine and Muffy frame him into doing a bad deed, so Francine becomes Student of the Month. They continue to frame other students in fear of being caught from their first plan.",https://static.wikia.nocookie.net/arthur/images/7/76/13x04a.png/revision/latest?cb=20110726210233,https://arthur.fandom.com/wiki/MacFrensky
"""The Good, the Bad, and the Binky""",13,4b,15-Oct-09,Binky introduces Emily into wrestling when he babysits her. Her personality changes from being nice and polite to being loud and rough. He changes her back to her normal self when she begins to hurt other children in result of her behavior.,https://static.wikia.nocookie.net/arthur/images/b/be/The_Good%2C_the_Bad%2C_and_the_Binky.jpg/revision/latest?cb=20111113221001,"https://arthur.fandom.com/wiki/The_Good,_the_Bad,_and_the_Binky"
"""No Acting, Please",13,5a,12-Oct-09,"When Fern lands a role in the Elwood City community production of It Began with a Whistle, she fears that she isn't talented enough to be a star actress. But director William Fillmore Toffman, voiced by Philip Seymour Hoffman, teaches her how to have fun, be herself, and truly shine.",https://static.wikia.nocookie.net/arthur/images/2/2a/NPA_115.jpg/revision/latest?cb=20120315035259,"https://arthur.fandom.com/wiki/No_Acting,_Please"
"""Prunella and the Disappointing Ending""",13,5b,12-Oct-09,"The final volume of the Henry Skreever series, ""The Knights of the Bouillabaisse"", is released at last. Prunella and Marina compete to see who will be first to finish it, but they soon learn that speed reading does not always pay off.",https://static.wikia.nocookie.net/arthur/images/4/45/Prunella_Deegan_and_the_Disappointing_Ending.JPG/revision/latest?cb=20130703110155,https://arthur.fandom.com/wiki/Prunella_and_the_Disappointing_Ending
"""When Carl Met George""",13,6a,5-Apr-10,"George meets a new friend named Carl, who has Asperger's syndrome—a form of autism. George is unsure about how to act around him, but the Brain helps put autism in perspective for him so he can understand some of Carl's mannerisms.",https://static.wikia.nocookie.net/arthur/images/3/36/Asp-1024x846.jpg/revision/latest?cb=20120525044819,https://arthur.fandom.com/wiki/When_Carl_Met_George
"""D.W. Swims with the Fishes""",13,6b,5-Apr-10,D.W. and James enter the preschool swim meet and recruit their older siblings to coach them. It all goes well until Arthur and Molly begin to get more competitive than them.,https://static.wikia.nocookie.net/arthur/images/7/7f/D.W._Swims_With_the_Fishes.JPG/revision/latest?cb=20121105021705,https://arthur.fandom.com/wiki/D.W._Swims_with_the_Fishes
"""A Portrait of the Artist as a Young Tibble""",13,7a,6-Apr-10,The Tibble Twins sell their artwork to raise money for a toy by using pity.,https://static.wikia.nocookie.net/arthur/images/5/57/Arth_TibblesDW_2414_3.jpg/revision/latest?cb=20101212161004,https://arthur.fandom.com/wiki/A_Portrait_of_the_Artist_as_a_Young_Tibble
"""The Secret Guardians""",13,7b,6-Apr-10,"Arthur, Sue Ellen, and Binky find a woodland oasis near their homes and vow to keep it a secret. Soon they start to find evidence of human habitation and wonder if they've discovered an ancient civilization.",https://static.wikia.nocookie.net/arthur/images/5/59/SMAL_Arsubia_-_The_secret_guardians.jpg/revision/latest?cb=20111210072013,https://arthur.fandom.com/wiki/The_Secret_Guardians
"""Fernlets by Fern""",13,8a,7-Apr-10,"Fern and Muffy start a greeting card business. Muffy paints the covers and Fern writes the poems. All the work makes Fern lose interest in writing, so she tries to figure out how to get make it interesting again.",https://static.wikia.nocookie.net/arthur/images/9/91/Fernlets_by_Fern_10.jpg/revision/latest?cb=20111025161908,https://arthur.fandom.com/wiki/Fernlets_by_Fern
"""Prunella and the Haunted Locker""",13,8b,7-Apr-10,"Prunella is assigned a new locker, which is rumored to be haunted. She learns how to be brave and face her fears.",https://static.wikia.nocookie.net/arthur/images/5/56/4th_Grade_Class_2.jpg/revision/latest?cb=20111026174649,https://arthur.fandom.com/wiki/Prunella_and_the_Haunted_Locker
"""Paradise Lost""",13,9a,8-Apr-10,"Kate begins to learn to talk, but starts to not be able to understand Pal anymore. They go to the Dolly Llama for an answer.",https://static.wikia.nocookie.net/arthur/images/e/ef/Paradise_lost.jpg/revision/latest?cb=20160527065149,https://arthur.fandom.com/wiki/Paradise_Lost
"""The Pride of Lakewood""",13,9b,8-Apr-10,"To boost school pride, Arthur and his classmates form the Lakewood Pride Committee, which seems to pressure and brainwash students to have pride for their school. Sue Ellen and the Brain don't join the group and are accused of not loving their school.",https://static.wikia.nocookie.net/arthur/images/7/77/The_Pride_of_Lakewood.JPG/revision/latest?cb=20110907161333,https://arthur.fandom.com/wiki/The_Pride_of_Lakewood
"""Looking for Bonnie""",13,10a,9-Apr-10,Famous rock musician Dean Lomax visits Elwood City and asks George's dad to fix his guitar.,https://static.wikia.nocookie.net/arthur/images/0/00/Looking_For_Bonnie.jpg/revision/latest?cb=20111210072812,https://arthur.fandom.com/wiki/Looking_for_Bonnie
"""The Secret Origin of Supernova""",13,10b,9-Apr-10,"Arthur is dismayed when he learns that the energy drink endorsed by Dark Bunny, his favorite superhero, is unhealthy. He goes in search for a new superhero who doesn't sell out from their principles, and ends up making his own named Supernova.",https://static.wikia.nocookie.net/arthur/images/d/d0/The_Secret_Orgin_of_Supernova.jpg/revision/latest?cb=20111201165251,https://arthur.fandom.com/wiki/The_Secret_Origin_of_Supernova
"""The Wheel Deal""",14,1a,11-Oct-10,"The Brain is put in a wheelchair after slipping on a banana peel and copes with the encouragement of Lydia, a disabled girl who uses a wheelchair. She helps Lakewood Elementary beat Mighty Mountain School in a basketball hoops contest.",https://static.wikia.nocookie.net/arthur/images/8/8d/Wheel-Deal4.jpg/revision/latest?cb=20110913185359,https://arthur.fandom.com/wiki/The_Wheel_Deal
"""The Buster Report""",14,1b,11-Oct-10,"George plans on doing a report on Buster. While waiting for Buster to get back to his house, his mother gives George a CD with pictures of him on it. Buster thinks that George will write an embarrassing report on him, but it is the contrary.",https://static.wikia.nocookie.net/arthur/images/a/a1/The_Buster_Report.JPG/revision/latest?cb=20110905204646,https://arthur.fandom.com/wiki/The_Buster_Report
"""The Agent of Change""",14,2a,12-Oct-10,"While at the movie theater, Francine and Muffy notice the lack of female roles in movies. With the help of Molly, they make their own movie starring a female character.",https://static.wikia.nocookie.net/arthur/images/4/41/The_Agent_of_Change.jpg/revision/latest?cb=20130514130429,https://arthur.fandom.com/wiki/The_Agent_of_Change
"""D.W. Unties the Knot""",14,2b,12-Oct-10,"After watching a reality show about crazy weddings, D.W. wants to have her own dream wedding with unicorns. She gets help from Emily, who helps her plan the wedding at the Crosswire Estate. She is confused when she finds out that she needs somebody to marry.",https://static.wikia.nocookie.net/arthur/images/5/55/D.W._Unties_the_Knot.png/revision/latest?cb=20111111011613,https://arthur.fandom.com/wiki/D.W._Unties_the_Knot
"""Nicked by a Name""",14,3a,13-Oct-10,"The Brain starts to give people nicknames, but becomes frustrated when he is always being asked to give one to someone. When Binky started making fun of Arthur, the Brain gave him the nickname ""Stinky Binky,"" which caused a chain reaction of other mean names. He resolves this by giving everyone soccer nicknames.",https://static.wikia.nocookie.net/arthur/images/9/91/NBAN81.png/revision/latest?cb=20111030021423,https://arthur.fandom.com/wiki/Nicked_by_a_Name
"""The Play's the Thing""",14,3b,13-Oct-10,The kids abandon the playground to look at Muffy's mySmartPhoney. The Tough Customers get angry because there is nobody to pick on. Binky persuades Muffy to get everybody to use the playground again by turning it into a theme park.,https://static.wikia.nocookie.net/arthur/images/5/55/The_Play%27s_the_Thing.JPG/revision/latest?cb=20110915194528,https://arthur.fandom.com/wiki/The_Play%27s_the_Thing
"""Falafelosophy""",14,4a,25-Oct-10,"Sue Ellen goes to Neil Gaiman's book signing, and he encourages her to write her own graphic novel. She decides to write about a war between circles and triangles.",https://static.wikia.nocookie.net/arthur/images/4/4a/Falafelosophy_1.jpg/revision/latest?cb=20110908145748,https://arthur.fandom.com/wiki/Falafelosophy
"""The Great Lint Rush""",14,4b,25-Oct-10,Pal and Amigo try to get Mr. Toad to like lint after Pal accidentally bets a lot of socks for his house.,https://static.wikia.nocookie.net/arthur/images/c/c9/The_Great_Lint_Rush.png/revision/latest?cb=20110915191711,https://arthur.fandom.com/wiki/The_Great_Lint_Rush
"""Tales of Grotesquely Grim Bunny""",14,5a,29-Oct-10,"Freddie K. gives ownership of Meteor Comix to his cousin, Gerald. He makes it horror-themed, so Fern, Arthur, and Buster combine their money so they can get ""Grotesquely Grim Bunny"". It scares Arthur and Buster, but Fern likes it.",https://static.wikia.nocookie.net/arthur/images/3/32/Grim_bunny.jpg/revision/latest?cb=20121121013630,https://arthur.fandom.com/wiki/Tales_of_Grotesquely_Grim_Bunny
